Kabupaten,Prediksi_2025,Prediksi_2026,Prediksi_2027,Prediksi_2028,Prediksi_2029,Prediksi_2030
Donggala,71.36767792336741,71.7497225316944,72.13197728384347,72.58935154060269,73.04998116048014,73.42262845664311
Empat Lawang,70.96066100963323,71.38532422607418,71.94299488734669,72.5538071224166,73.02897667494905,73.4472476621253
Ende,72.86100997069786,73.27943391267023,73.83205532060224,74.39464762654136,74.86955757287548,75.28273398302706
Enrekang,79.44062835900245,79.94521593899394,80.41995161072364,80.88101264573167,81.40814093302163,81.9648028551315
Fakfak,74.77915302602456,75.0891141046837,75.646261673155,76.2087568814696,76.8331886972306,77.469702684223
Flores Timur,69.7414794340417,70.0226346330034,70.68300642181076,71.40336222922087,71.82378224220984,72.06368311709849
Garut,73.10799976693586,73.74835347277292,74.43982147810225,75.09199618154285,75.65101323140964,76.19729424450912
Gayo Lues,74.08114935162686,74.66365688905961,75.19623856686827,75.72847935305853,76.34601655100451,77.14549013578264
Gianyar,84.9834079642157,85.48103225570014,86.07510060949878,86.75545871700892,87.40051459080956,87.94681937670062
Gorontalo,73.72402891876033,74.57731246597174,75.53828036232505,76.19965273018349,76.78217703298499,77.55234196911333
Gorontalo Utara,71.47317386563589,72.18009266265666,72.86624488247435,73.51986418314021,74.27840317826852,74.95051058085332
Gowa,77.00408932122782,77.55906728162667,78.26660782879418,78.95500046808,79.54733863257586,80.24413061667718
Gresik,83.47575502581253,84.17758292604812,84.95739565536262,85.48970612405154,85.95858658244312,86.61504850005426
Grobogan,76.30841770431755,76.72754380905491,77.26333148091632,77.73431698864515,78.25741370517963,78.68894839509404
Gunung Kidul,75.84348603061376,76.04635561769116,76.676989826662,76.95450501443678,77.65737634392302,77.90755077391628
Gunung Mas,77.47416395182614,78.0254961888173,78.64581176747595,79.19989395251446,79.67950876429175,80.1566205949806
Halmahera Barat,71.64826250311992,72.29903547779418,72.94329101425473,73.54804658962446,74.15186539847915,74.75517590593859
Halmahera Selatan,70.70633359556783,71.05457591514359,71.73372774053114,72.4567912288388,73.05985421279647,73.7132362955948
Halmahera Tengah,72.34309593116377,72.75093652660932,73.27214288426734,74.0765268350388,75.01168798069794,75.61213799943006
Halmahera Timur,74.12750557395444,74.64831951293512,75.30223164261041,76.04028278380804,76.7586157328883,77.4363839608172
Halmahera Utara,73.83084775962547,73.93866092102958,74.27140384977783,74.6184760215443,75.2412420915234,75.88102959422811
Hulu Sungai Selatan,75.52329207265375,76.04748705549974,76.56737196490279,77.08464616052034,77.62370835629963,78.14411548065223
Hulu Sungai Tengah,74.96259564128513,75.4581779138294,75.9207025150535,76.36190558604217,76.77424694366285,77.16122088572274
Hulu Sungai Utara,71.84024925379865,72.1751494070392,72.68990004184722,73.32035176907756,74.07326247929234,74.68153046877012
Humbang Hasundutan,76.08972818889613,76.63963884415467,77.57723142628589,78.04333410614493,78.78366990329164,79.36569787550239
Indragiri Hilir,71.87789291633393,71.95010286260577,72.214235707849,72.73054270471145,73.12912869051308,73.35683165230411
Indragiri Hulu,75.64738072640054,75.86411437916273,76.2609836076848,76.65795801441685,76.97964713571731,77.27645254273692
Indramayu,73.90875292239446,74.58137688873668,75.61469596604357,76.33560209174843,76.90991233331432,77.31560506650618
Intan Jaya,52.92270937646994,53.82889404807112,54.46462855710373,54.94121138016046,55.77733484569322,56.54719821263716
Jayapura,78.60281959672966,79.06198875527667,79.64845383736613,80.29294031379136,80.86716288686885,81.36330458668856
Jayawijaya,62.662644602245116,63.12884069321776,64.1307129824524,64.45622159601992,64.59004734253487,64.74543884587986
Jember,72.93313105406108,73.42842246258552,73.90337676344367,74.55323473663319,75.085937267169,75.62959276101522
Jembrana,79.55280741862273,80.1246453223553,80.73383582666071,81.34040343831414,81.91682139944074,82.50033126437097
Jeneponto,69.94382096954418,70.35186659851017,70.99707246160803,71.76948241516288,72.27874468204617,72.60852433768554
Jepara,79.27019159425217,80.03598680198102,80.73762450383445,81.30128922984375,81.8840254871962,82.54752196225448
Jombang,79.72976216426413,80.19332077910548,80.73295427247271,81.28085148102434,81.7619524455429,82.18454240769123
Kaimana,71.8786848795323,72.27125987058768,72.98863873079628,73.72327047857601,74.51242078140247,75.25022937447537
Kampar,79.05610618789545,79.56415519004975,80.00118968781364,80.57482002314667,80.91147878259149,81.15410433193414
Kapuas,75.58160107816451,75.77035868874033,75.97540732131662,76.25994984161214,76.72363389751101,77.24637197087438
Kapuas Hulu,73.06793590262134,73.73982813543077,74.5954011694917,75.44349699765013,76.15311568612974,76.81576273948025
Karanganyar,83.78718101835193,84.45344031975323,84.83914916043983,85.25342713820558,85.70783178678515,86.1634712206575
Karangasem,74.37893779891068,74.7720361833067,75.04566122873425,76.09024913707401,76.88804828620486,77.35118557727003
Karawang,77.17346172751323,77.57961450508027,78.191561937622,78.83011625210594,79.31265273982183,79.58893433813972
Karimun,79.73621216956042,80.92755987059267,81.89339652240737,82.9913319366549,84.16404879862844,85.14359551728813
Karo,81.5034474234675,81.97476072203945,82.52748338403477,83.09802214895558,83.61843790747176,84.09169631787721
Katingan,74.81467437962046,75.58342637497533,76.13661596769633,76.57708060541128,77.0207662389488,77.68792148606377
Kaur,72.92772223365527,73.27096332600792,73.9025179922856,74.50964289948212,75.01061789247416,75.40228728739804
Kayong Utara,69.89215190537065,70.96407144221811,71.96665118962122,72.8889212392523,73.79034476746904,74.69660135394528
Kebumen,76.29623483529767,76.9080950375831,77.50282463651413,78.05595231785937,78.54937832307526,79.08069554267412
Kediri,79.17384275507558,79.5455381793135,80.2497735737062,81.00874805481948,81.40235465029328,82.00345045038777
Keerom,72.5124620000281,72.91274394649842,73.56930296828892,74.27488046061052,74.72994976778317,75.06549012577385
Kendal,78.8721126878763,79.58412588885659,80.23890741830103,80.72871402095305,81.21662365553196,81.87530119817337
Kep. Seribu,78.90342979988588,79.59281636341174,80.15978571149078,80.88797633563594,81.53185757082349,82.22708486663868
Kepahiang,74.35633789382823,75.03099347370944,75.54872579344111,76.10300143025525,76.67940715600663,77.19323412717883
Kepulauan Anambas,74.92221354402591,75.44045980125439,76.0096713869774,76.70971520771627,77.24524836181727,77.76829833060353
Kepulauan Aru,69.79981040694416,70.12176382708665,70.28543672517347,70.58649537641271,71.1631068308403,71.85934160072156
Kepulauan Mentawai,67.78546180588802,68.18325904690275,68.6682683672536,69.27070930147812,69.91129686261658,70.4963762653572
Kepulauan Meranti,71.51209608491516,71.70779854407144,72.36041333298124,73.1374064538768,73.75219850520564,73.94423570113649
Kepulauan Sangihe,77.28971265798575,77.78822441720914,78.30651404183558,78.82287492793724,79.31751666045922,79.8006181259676
Kepulauan Selayar,74.48709890861626,75.1302907033544,75.95446019761972,76.80125095097148,77.50286445629634,78.15390964242198
Kepulauan Sula,69.89467906401555,69.83398530097269,70.41265776850089,71.33729193771491,71.90030262230198,72.59960820962898
Kepulauan Talaud,76.560246617643,77.26394736469103,77.95523396782914,78.60092587857073,79.26606120129438,79.94325713665586
Kepulauan Yapen,73.98252719826226,74.28804347608234,74.81750868198502,75.46172670258233,75.94387713671689,76.29080114822112
Kerinci,77.69543180565849,78.35470716051343,78.98950507189826,79.62759258351038,80.26278415022682,80.87928774479758
Ketapang,73.86290065508076,74.24833547680207,74.60735861949244,75.11940156686315,75.76821992699517,76.43310088242289
Klaten,83.56469786994127,84.2869332066175,84.9715528399685,85.60243443332034,86.22809561366746,86.86666567564579
Klungkung,78.51751298898564,78.87694006579613,79.34938975815881,79.98256220821376,80.7296460764476,81.1821032734705
Kolaka,79.81629089846778,80.1882175744741,80.7273758566061,81.32315082131663,81.75677687512926,82.11772047890179
Kolaka Timur,75.0219678375485,75.66880571818925,76.22919619016406,76.74836797643836,77.22979477675455,77.66429329352215
Kolaka Utara,76.32230543035375,77.12099509220523,77.78415816984021,78.44764153936626,79.09042530831815,79.7948470375313
Konawe,77.91117319071748,78.36072818011776,78.98819587270899,79.65897033150394,80.11984341554017,80.5508728901328
Konawe Kepulauan,72.32062953605737,72.79173467480604,73.24442174372386,73.6759844601493,74.09318487037872,74.47866235616353
Konawe Selatan,76.16998853996127,76.98166716069399,77.68049943235036,78.38918282702328,79.02328671328638,79.66986417009085
Konawe Utara,76.99984600431728,77.80710207273519,78.41460338506576,79.08052757912824,79.74605933070893,80.46075377685857
Kota Ambon,87.61742102848241,88.0028405911786,88.36667906116351,88.77114449293391,89.24644004216954,89.59409037043949
Kota Balikpapan,87.13959286103344,87.77809390228303,88.44431753492167,88.76231977887154,89.39568127977553,89.51976985617014
Kota Banda Aceh,92.66503885876209,93.16376428016315,93.65718581564595,94.12682580869847,94.59433176545875,95.07126822598488
Kota Bandar Lampung,84.19892639931085,84.49444052190108,84.81346595368301,85.2772524864501,85.83136903321204,86.30782444324164
Kota Bandung,88.69722953866182,89.23399043090194,89.98428130851545,90.30746530335622,90.63491546438186,91.11107477618648
Kota Banjar,78.21768440162502,78.59698043619872,78.97169200234995,79.34994203503284,79.73535547035968,80.09216642788502
Kota Banjar Baru,85.35708414877631,85.42161221022428,85.70721233379868,86.0949872329482,86.50625946416473,86.79530751995085
Kota Banjarmasin,84.16801602357629,84.64515727362122,85.11980459522083,85.60049221332531,86.06940872079194,86.51662085024998
Kota Batam,88.4163529017451,88.45813295124323,88.78958934869006,89.04347550421339,89.54619947672205,90.34207014673679
Kota Batu,83.71580673289195,84.29377537921081,85.15242991242147,85.97934319443296,86.60343620931475,87.12472837265355
Kota Baubau,83.33743619798565,83.87832464062288,84.35693422332945,85.0718448819292,85.71466816952591,86.40386141345815
Kota Bekasi,88.96854797219918,89.57191605477034,90.082855277494,90.59948638052411,91.04714650276091,91.52759820065131
Kota Bengkulu,87.21285729322419,87.5549440379223,87.89155855843111,88.22362261959859,88.6027982856249,88.9984224530488
Kota Bima,83.1944430767543,83.71102616891056,84.34246074303059,84.95752893233764,85.51935528079973,86.11334716102355
Kota Binjai,83.23675968237178,83.88485782342883,84.5036350124744,85.02698187643301,85.55679983808966,86.11426278255443
Kota Bitung,80.58056163357625,80.99469949241075,81.48528288044317,81.91483362464291,82.34054595529787,82.76275638728569
Kota Blitar,86.77591201645222,87.47052569070976,88.24935960770182,88.93205526014309,89.58638674293213,90.28818860586586
Kota Bogor,83.58828315433347,84.0252153956576,84.51302907895001,85.04823952395768,85.67263054905526,86.12899749144141
Kota Bontang,88.16640196321349,88.74293655293745,89.34747563709006,90.03960245293445,90.70158219333226,91.28709811434928
Kota Bukittinggi,87.69111300124538,88.08299303314598,88.55324821624232,88.93794449244439,89.49384124349274,89.78411864614603
Kota Cilegon,79.84915479867618,80.24097592946828,80.61971976052064,81.09448113330049,81.6101690892872,82.12519322763673
Kota Cimahi,85.1396516774396,85.40432525520112,86.00954607502992,86.61432224419191,87.14030056247131,87.4859857648508
Kota Cirebon,82.13085655733326,82.63727090487282,83.25620814178768,83.8095152091753,84.3538946922527,84.88783507629834
Kota Denpasar,90.85908778797055,91.30971785678142,91.72883605185251,92.15658982187539,92.56970072843386,92.9795669528308
Kota Depok,88.38827029604583,88.9011812771169,89.44814579664948,89.90662545654219,90.43220364305157,90.92425137078264
Kota Dumai,80.69204163214553,80.79671759344586,81.27041297668957,81.63805852617703,82.15640211913609,82.48175569060861
Kota Gorontalo,84.27978040179246,84.8678728176592,85.44759650914533,85.95363941502052,86.46973800764708,87.01332630860419
Kota Gunungsitoli,75.55301503259756,75.956923586612,76.5143806268827,77.07337298719882,77.67601859807739,77.92978685583611
Kota Jakarta Barat,89.50486558839266,90.19825715302956,90.94222952103024,91.73154205880412,92.43984899327303,93.16207405417727
Kota Jakarta Pusat,88.43911475177902,88.88499018330491,89.3343613418429,89.78084521957021,90.20265269408586,90.62097118456643
Kota Jakarta Selatan,93.08176610159622,93.98215987407248,94.61252221314521,95.27231026261326,95.88127373756942,96.41314995510233
Kota Jakarta Timur,90.01675860959533,90.39293791165626,90.91151746215472,91.50621953230514,91.98501883800714,92.31023584244423
Kota Jakarta Utara,86.49110164805805,86.75183763119455,87.02437962768164,87.29663272977689,87.54601365308464,87.7843817165225
Kota Jambi,86.13201213762594,86.94355035237503,87.58285655908047,88.15977801309758,88.92239609011258,89.422015528305
Kota Jayapura,86.47303928909014,86.58035399031404,86.85764560990104,87.2864155747322,87.85685634953813,88.10960924260814
Kota Kediri,86.71834308124961,87.23619279685616,87.88508769276207,88.65195529879888,89.50121484337228,90.21715740305224
Kota Kendari,90.90283666348093,91.58771105788861,92.18477325892664,92.7541216853854,93.28722267688724,93.68982626292627
Kota Kotamobagu,79.8170543619269,80.32960877734753,80.87059770947405,81.2207776073101,81.97099276128351,82.28740039158842
Kota Kupang,86.04102832419551,86.37838662064534,86.75968984682481,87.14967166330337,87.52624863811775,87.87892898485228
Kota Langsa,83.79054563821346,84.35006020029147,84.89883214986202,85.38592068592874,85.89994456515714,86.38399431097083
Kota Lhokseumawe,84.69729048547946,85.24719786588854,85.97795765121722,86.61395864276581,87.16025157722916,87.70513671267923
Kota Lubuklinggau,81.59165909653643,81.8758035930399,82.4569840918359,83.09767045784163,83.58061996453539,84.02892588706239
Kota Madiun,89.5367980121411,90.48230766111271,91.40047708119057,92.43818620953869,93.34794388755037,94.19374681548996
